2026-07-03T19:46:38+08:00 localhost rasdaemon[1046]: Can't get traces from ras:extlog_mem_event
2026-07-03T19:46:47+08:00 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
2026-07-03T19:46:47+08:00 win000k10424 lightdm[2576]: [kysdk-conf2] invalied schema id
2026-07-03T19:46:48+08:00 win000k10424 ukui-login-sound[2610]: control hw:0 open error: No such file or directory
2026-07-03T19:46:48+08:00 win000k10424 ukui-login-sound[2610]: file convert error, err:32512.
2026-07-03T19:46:49+08:00 win000k10424 systemd[2634]: Failed to start Portal service (GTK/GNOME implementation).
2026-07-04T11:17:11+08:00 win000k10424 python3[183815]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T12:48:11+08:00 win000k10424 python3[201617]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T14:29:11+08:00 win000k10424 python3[220812]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T16:06:31+08:00 win000k10424 python3[239315]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T17:56:11+08:00 win000k10424 python3[260146]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T18:58:00+08:00 win000k10424 python3[271871]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T20:49:51+08:00 win000k10424 python3[293097]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-04T22:46:11+08:00 win000k10424 python3[315193]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T00:18:12+08:00 win000k10424 python3[332646]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
2026-07-05T01:48:51+08:00 win000k10424 python3[349857]: ldapdb_canonuser_plug_init() failed in sasl_canonuser_add_plugin(): invalid parameter supplied
